Country ISO3,Year,Indicator Code,Value
CHN,2019,UIS.E.2,46744505
CHN,2018,UIS.E.2,44601929
CHN,2017,UIS.E.2,43697309
CHN,2016,UIS.E.2,43569322
CHN,2015,UIS.E.2,44410804
CHN,2014,UIS.E.2,44982567
CHN,2013,UIS.E.2,48361182
CHN,2012,UIS.E.2,50780076
CHN,2011,UIS.E.2,52908494
CHN,2010,UIS.E.2,54524912
CHN,2009,UIS.E.2,55957330
CHN,2008,UIS.E.2,57463652
CHN,2007,UIS.E.2,59655356
CHN,2006,UIS.E.2,62222080
CHN,2003,UIS.E.2,67153407
CHN,2002,UIS.E.2,65405344
CHN,2001,UIS.E.2,62790663
CHN,2000,UIS.E.2,58232279
CHN,1999,UIS.E.2,54907568
CHN,1997,UIS.E.2,50479486
CHN,1996,UIS.E.2,47275080
CHN,1995,UIS.E.2,43799138
CHN,2019,UIS.E.3,39357192
CHN,2018,UIS.E.3,39719930
CHN,2017,UIS.E.3,39710616
CHN,2016,UIS.E.3,40386996
CHN,2015,UIS.E.3,41716393
CHN,2014,UIS.E.3,43709223
CHN,2013,UIS.E.3,45963233
CHN,2012,UIS.E.3,44224133
CHN,2011,UIS.E.3,44543974
CHN,2010,UIS.E.3,44693170
CHN,2009,UIS.E.3,44435136
CHN,2008,UIS.E.3,43984613
CHN,2007,UIS.E.3,42175613
CHN,2006,UIS.E.3,38973039
CHN,2003,UIS.E.3,28471353
CHN,2002,UIS.E.3,25317451
CHN,2001,UIS.E.3,23726049
CHN,2000,UIS.E.3,23255681
CHN,1999,UIS.E.3,22528700
CHN,1997,UIS.E.3,18676052
CHN,1996,UIS.E.3,17373337
CHN,2019,UIS.E.4,996403
CHN,2016,UIS.E.4,1004558
CHN,2015,UIS.E.4,1218146
CHN,2014,UIS.E.4,1252514
CHN,2003,UIS.E.4,611786
CHN,2002,UIS.E.4,691812
CHN,2001,UIS.E.4,744923
CHN,2000,UIS.E.4,1008936
CHN,1999,UIS.E.4,1101748
